2026-09-01 15:56:11,984 | INFO | root | ==================================================
2026-09-01 15:56:11,984 | INFO | root | Application logging started
2026-09-01 15:56:11,984 | INFO | root | Log file: logs\2026-09-01_15-56-11.log
2026-09-01 15:56:11,984 | INFO | root | ==================================================
2026-09-01 15:56:11,985 | INFO | __main__ | Starting retrieval evaluation
2026-09-01 15:56:11,985 | INFO | __main__ | Loaded 1 evaluation queries
2026-09-01 15:56:11,985 | INFO | rag.retrieval_evaluator | Evaluating query 1/1
2026-09-01 15:56:11,985 | INFO | rag.retrieval_evaluator | Evaluating Query | top_k=10 | query=How many days should I report of office (onsite)?
2026-09-01 15:56:11,986 | INFO | rag.retriever | Retrieving documents for query='How many days should I report of office (onsite)?', top_k=10
2026-09-01 15:56:11,986 | INFO | rag.retriever | Generating query embedding
2026-09-01 15:56:12,009 | INFO | rag.vectorstore | Searching vector DB with top_k=10
2026-09-01 15:56:12,013 | INFO | rag.retriever | Retrieved 10 documents
